,iters,top_1,top_5,consumeTime
0,10,80.9375,95.0,4.207733869552612
1,20,83.125,95.3125,4.378716468811035
2,30,84.79166666666667,95.72916666666667,4.5497167110443115
3,40,85.9375,96.015625,4.719726085662842
4,50,85.125,95.5625,4.890731334686279
5,60,81.61458333333333,94.84375,5.0617406368255615
6,70,80.49107142857143,94.41964285714286,5.232746839523315
7,80,79.21875,93.90625,5.405740976333618
8,90,78.50694444444444,93.78472222222223,5.576748609542847
9,100,76.96875,93.28125,5.749752759933472
10,110,76.05113636363636,92.8125,5.919754266738892
11,120,76.09375,93.02083333333333,6.08975887298584
12,130,76.39423076923077,92.90865384615384,6.260767936706543
13,140,77.32142857142857,93.19196428571429,6.430772542953491
14,150,78.35416666666667,93.41666666666667,6.603787422180176
15,160,78.65234375,93.53515625,6.77679443359375
16,170,78.80514705882354,93.47426470588235,6.946802854537964
17,180,78.85416666666667,93.45486111111111,7.117804288864136
18,190,78.86513157894737,93.55263157894737,7.287807941436768
19,200,78.625,93.5,7.45880913734436
